reference_id,target,booking_source,car_price,payment_mode_percent,token_type,emirates_of_registration,customer_nationality,test_drive_type,customer_age,customer_salary_bank,customer_salary,existing_emi,car_type,odo,model_year,car_age,loan_tenure,car_emi,new_emi,dbr,country_code_column,api_1_data_phone_basic_phoneValid,api_1_data_phone_basic_phoneDisposable,api_1_data_phone_basic_ported,api_1_data_phone_basic_portedHistory_changeInCarrierRegion,api_1_data_phone_social_profiles_emailProvider_google_registered,api_1_data_phone_social_profiles_ecommerce_amazon_registered,api_1_data_phone_social_profiles_socialMedia_facebook_registered,api_1_data_phone_social_profiles_socialMedia_twitter_registered,api_1_data_phone_social_profiles_socialMedia_instagram_registered,api_1_data_phone_social_profiles_professional_microsoft_registered,api_1_data_phone_social_profiles_professional_linkedin_registered,api_1_data_phone_social_profiles_messaging_telegram_registered,api_1_data_phone_social_profiles_messaging_telegram_privacyStatus,api_1_data_phone_social_profiles_messaging_whatsapp_registered,api_1_data_phone_social_profiles_messaging_whatsapp_privacyStatus,api_1_data_phone_social_profiles_messaging_skype_registered,api_1_data_email_social_profiles_consumerElectronics_apple_registered,api_1_data_email_social_profiles_emailProvider_google_registered,api_1_data_email_social_profiles_emailProvider_yahoo_registered,api_1_data_email_social_profiles_ecommerce_amazon_registered,api_1_data_email_social_profiles_ecommerce_ebay_registered,api_1_data_email_social_profiles_socialMedia_facebook_registered,api_1_data_email_social_profiles_socialMedia_instagram_registered,api_1_data_email_social_profiles_socialMedia_pinterest_registered,api_1_data_email_social_profiles_socialMedia_twitter_registered,api_1_data_email_social_profiles_messaging_skype_registered,api_1_data_email_social_profiles_professional_wordpress_registered,api_1_data_email_social_profiles_professional_linkedin_registered,api_1_data_email_social_profiles_professional_microsoft_registered,api_1_data_email_social_profiles_professional_hubspot_registered,api_1_data_email_social_profiles_entertainment_spotify_registered,api_1_data_email_social_profiles_entertainment_disneyplus_registered,api_1_data_email_social_profiles_financial_paypal_registered,api_1_data_email_basic_deliverable,api_1_data_email_basic_domainDetails_registered,api_1_data_email_basic_domainDetails_disposable,api_1_data_email_basic_domainDetails_freeProvider,api_1_data_email_basic_domainDetails_websiteExists,api_1_data_email_basic_domainDetails_acceptAll,api_1_data_email_basic_breach_isBreached,api_1_Eng_originalCarrier,api_1_Eng_currentCarrier,api_1_Eng_consumer_segment,api_1_data_phone_basic_portedHistory_numberOfPorts,api_1_data_phone_social_summary_registeredProfiles,api_1_data_phone_social_summary_registeredEmailProviderProfiles,api_1_data_phone_social_summary_registeredEcommerceProfiles,api_1_data_phone_social_summary_registeredSocialMediaProfiles,api_1_data_phone_social_summary_registeredProfessionalProfiles,api_1_data_phone_social_summary_registeredMessagingProfiles,api_1_data_phone_social_summary_numberOfPhotosReturned,api_1_data_email_social_summary_registeredProfiles,api_1_data_email_social_summary_registeredConsumerElectronicsProfiles,api_1_data_email_social_summary_registeredEmailProviderProfiles,api_1_data_email_social_summary_registeredEcommerceProfiles,api_1_data_email_social_summary_registeredSocialMediaProfiles,api_1_data_email_social_summary_registeredMessagingProfiles,api_1_data_email_social_summary_registeredProfessionalProfiles,api_1_data_email_social_summary_registeredEntertainmentProfiles,api_1_data_email_social_summary_registeredFinancialProfiles,api_1_data_email_social_summary_numberOfNamesReturned,api_1_data_email_basic_breach_noOfBreaches,api_1_data_email_basic_emailTenure,api_1_Eng_data_email_basic_breach_lastBreach_delta,api_1_Eng_platform_availability,api_1_Eng_data_phone_social_profiles_messaging_whatsapp_photo_availability,api_1_Eng_frequent_user,api_1_Eng_registeredEcommerceProfiles_comparison,api_1_Eng_registeredEmailProviderProfiles_comparison,api_1_Eng_registeredMessagingProfiles_comparison,api_1_Eng_registeredProfessionalProfiles_comparison,api_1_Eng_available_top3_segments,name_available,name_similarity_match_with_email_before_domain,location_present,location,photo_present,employement_history_count,recent_employer_name,education_history_count,designation_present,current_designation,number_of_designation,designation_changed,no_of_different_employer,work_experiance,joining_date_present_of_employemnt,exit_date_present_of_previous_employment,difference_between_no_joining_vs_no_exist,employer_logo_present,no_of_employer_logo_present,no_of_employement_linkedin_url_present,field_of_study_present,field_of_degree_present,field_of_school_present,first_education_completed_year_ago,current_exp_in_recent_company,total_time_spent_on_study,list_of_degree_name
LO2MKT,1,MobileApp,69995,100% - financing,NEX_TOKEN,ABU_DHABI,Nepal,HUB,41,DIB,5500.0,793.0,PRIME,87671,2020,3,5,1096.588333,1889.588333,34.35615152,AE,True,False,False,NOT_SUPPORTED,False,True,True,False,True,False,,True,PRIVATE,True,PUBLIC,False,False,True,False,True,False,True,False,True,False,False,False,,True,False,False,False,False,True,True,False,True,True,False,False,DU,DU,,,5.0,0.0,1.0,2.0,0.0,2.0,1.0,7.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,,,5.0,1.0,0.0,0.0,1.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,[]
0RQLQX,0,MobileApp,31999,100% - financing,NEX_TOKEN,ABU_DHABI,Pakistan,HUB,44,Others,7000.0,1000.0,PRIME,73331,2020,3,5,501.3176667,1501.317667,21.44739524,AE,True,False,False,NOT_SUPPORTED,False,False,True,False,False,True,,,,True,PUBLIC,True,False,True,False,False,False,True,,True,False,False,False,True,True,False,False,False,False,True,True,False,True,True,False,False,ETISALAT,,,,4.0,0.0,0.0,1.0,1.0,2.0,2.0,5.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,,3.0,1.0,1.0,1.0,0.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,[]
CLF6JO,0,MobileApp,69999,100% - financing,NEX_TOKEN,ABU_DHABI,India,HUB,28,ENBD,11000.0,450.0,PRIME,95310,2020,3,5,1096.651,1546.651,14.06046364,AE,True,False,False,NOT_SUPPORTED,False,False,False,False,False,False,,,,True,PUBLIC,False,False,True,False,True,False,True,True,False,True,True,False,False,True,False,False,False,False,True,True,False,True,True,False,True,ETISALAT,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,6.0,6.11,72.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,,True,0.84,False,,False,0.0,,0.0,False,,,False,,,False,False,,False,,,False,False,False,,,0,[]
NS2NO7,0,WebApp,44999,100% - financing,NEX_TOKEN,ABU_DHABI,India,HUB,28,Others,6000.0,1.0,PRIME,51155,2019,4,5,704.9843333,705.9843333,11.76640556,AE,True,False,False,NOT_SUPPORTED,True,True,True,False,True,True,,True,PRIVATE,True,PUBLIC,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,True,False,True,True,False,True,ETISALAT,,,,7.0,1.0,1.0,2.0,1.0,2.0,1.0,11.0,2.0,1.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,2.0,5.69,1410.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,[]
ETGLQG,0,mSite,29390,100% - financing,NEX_TOKEN,ABU_DHABI,India,HOME,35,ADCB,5500.0,500.0,LITE,142009,2020,3,5,460.4433333,960.4433333,17.46260606,AE,True,False,False,NOT_SUPPORTED,True,True,False,False,,False,,True,PRIVATE,True,PUBLIC,False,True,True,True,True,False,True,True,False,True,True,False,,True,False,False,False,False,True,True,False,True,True,False,True,ETISALAT,,,,4.0,1.0,1.0,0.0,0.0,2.0,1.0,10.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,10.84,3961.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,[]
X0VJ5A,0,MobileApp,52999,100% - financing,NEX_TOKEN,DUBAI,India,HOME,33,ENBD,6000.0,1200.0,PRIME,110079,2017,6,5,830.3176667,2030.317667,33.83862778,AE,True,False,False,NOT_SUPPORTED,True,True,True,True,False,True,,False,,True,PRIVATE,True,True,True,False,True,False,True,,True,True,False,False,,True,False,False,False,False,True,True,False,True,True,False,True,DU,DU,,,7.0,1.0,1.0,2.0,1.0,2.0,1.0,9.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,5.69,1410.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,
T56NQ1,0,MobileApp,93999,100% - financing,EX_TOKEN,SHARJAH,India,HUB,47,ENBD,5300.0,1.0,PRIME,46904,2022,1,5,1472.651,1473.651,27.80473585,AE,True,False,False,NOT_SUPPORTED,True,True,True,False,True,True,,True,PRIVATE,True,PRIVATE,False,True,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True,False,True,ETISALAT,,,,7.0,1.0,1.0,2.0,1.0,2.0,0.0,7.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,12.26,1218.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,0.95,True,"india, asia",False,0.0,,0.0,False,,,False,,,False,False,,False,,,False,False,False,,,0,
PQ4PHT,0,MobileApp,52999,100% - financing,NEX_TOKEN,DUBAI,India,HOME,33,EIB,6000.0,0.0,PRIME,34942,2021,2,5,830.3176667,830.3176667,13.83862778,AE,True,False,False,NOT_SUPPORTED,True,True,True,False,,True,,,,True,PUBLIC,False,,True,False,True,False,True,True,True,True,True,False,,True,False,True,False,False,True,True,False,True,True,False,True,DU,DU,,,5.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,11.0,7.8,235.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,[]
VVVLRB,0,MobileApp,49999,100% - financing,NEX_TOKEN,ABU_DHABI,India,HOME,32,Others,9000.0,1790.0,PRIME,64758,2017,6,5,783.3176667,2573.317667,28.59241852,AE,True,False,False,NOT_SUPPORTED,True,True,True,True,True,True,,False,,True,PUBLIC,False,,True,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,True,True,False,True,True,False,True,DU,DU,,,7.0,1.0,1.0,3.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,5.3,33.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,[]
8T82LR,0,MobileApp,37999,100% - financing,NEX_TOKEN,DUBAI,Kenya,HOME,30,Others,6000.0,742.0,PRIME,110684,2020,3,5,595.3176667,1337.317667,22.28862778,AE,True,False,False,NOT_SUPPORTED,False,False,False,True,False,False,,False,,True,PUBLIC,False,True,True,False,True,False,False,,True,True,True,False,True,True,False,True,False,False,True,True,False,True,True,False,True,DU,DU,,,2.0,0.0,0.0,1.0,0.0,1.0,0.0,13.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,4.0,5.21,810.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,[]
LU9FDX,0,MobileApp,62999,100% - financing,EX_TOKEN,ABU_DHABI,India,HUB,24,ENBD,10000.0,1.0,PRIME,103759,2020,3,5,986.9843333,987.9843333,9.879843333,AE,True,False,False,NOT_SUPPORTED,False,False,True,True,True,True,,True,PRIVATE,True,PRIVATE,False,True,True,,True,False,False,True,True,False,True,False,True,True,False,True,False,False,True,True,False,True,True,False,True,ETISALAT,DU,,,6.0,0.0,0.0,3.0,1.0,2.0,0.0,13.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,3.0,3.82,810.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,[]
9Z4HSK,0,MobileApp,138999,80% - financing,NEX_TOKEN,DUBAI,India,HUB,34,Others,20000.0,1380.0,PRIME,49045,2022,1,5,2177.651,3557.651,17.788255,AE,True,False,False,NOT_SUPPORTED,False,False,True,False,True,True,,,,True,PRIVATE,False,True,True,True,True,True,False,,False,True,True,False,True,True,False,True,False,False,True,True,False,True,True,False,True,ETISALAT,,,,4.0,0.0,0.0,2.0,1.0,1.0,0.0,12.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,14.0,16.1,33.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,[]
M0NEQ6,0,MobileApp,114999,100% - financing,EX_TOKEN,DUBAI,"Palestinian Territory, Occupied",HOME,26,ADCB,20800.0,0.0,PRIME,93761,2019,4,5,1801.651,1801.651,8.661783654,AE,True,False,False,NOT_SUPPORTED,False,False,True,False,False,False,,True,PRIVATE,True,PUBLIC,False,False,True,False,True,False,False,True,True,True,True,False,True,True,False,True,False,False,True,True,False,True,True,False,False,ETISALAT,,,,3.0,0.0,0.0,1.0,0.0,2.0,1.0,12.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,,,9.0,1.0,0.0,0.0,1.0,0.0,0.0,,True,0.86,True,"Dubai, United Arab Emirates",True,4.0,National Paints,2.0,True,Financial Reporting and Tax Lead,4.0,True,3.0,3.03,True,True,1.0,True,4.0,4.0,True,True,True,5.0,2.06,3,
51NOQR,0,CC,35999,100% - financing,NEX_TOKEN,DUBAI,India,HOME,33,Others,4000.0,1.0,PRIME,124180,2016,7,4,683.981,684.981,17.124525,AE,True,False,False,NOT_SUPPORTED,False,True,True,False,True,False,,True,PRIVATE,True,PRIVATE,False,True,True,False,False,False,False,,True,False,False,False,True,False,False,True,False,False,True,True,False,True,True,False,False,ETISALAT,,,,5.0,0.0,1.0,2.0,0.0,2.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,6.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,[]
B14TN5,1,mSite,57799,80% - financing,NEX_TOKEN,DUBAI,India,HOME,30,ENBD,5000.0,1.0,PRIME,90007,2018,5,5,905.5176667,906.5176667,18.13035333,AE,True,False,False,NOT_SUPPORTED,False,False,False,False,False,False,,False,,True,PUBLIC,False,True,True,False,True,False,False,,False,True,False,False,True,False,False,True,False,False,True,True,False,True,True,False,True,DU,DU,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,5.69,2077.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,
HWGGMD,0,MobileApp,86999,100% - financing,NEX_TOKEN,ABU_DHABI,Brazil,HOME,46,Others,21660.0,1700.0,PRIME,87831,2019,4,5,1362.984333,3062.984333,14.14120191,AE,True,False,False,NOT_SUPPORTED,True,False,True,False,True,False,,True,PUBLIC,True,PRIVATE,False,True,False,False,True,False,True,,False,False,True,False,,True,False,False,False,False,True,True,False,True,True,False,True,ETISALAT,,,,5.0,1.0,0.0,2.0,0.0,2.0,1.0,7.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.4,1241.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,[]
LO2OI1,0,MobileApp,50199,100% - financing,NEX_TOKEN,SHARJAH,Pakistan,HOME,24,ENBD,10000.0,1.0,PRIME,87723,2020,3,5,786.451,787.451,7.87451,AE,True,False,False,NOT_SUPPORTED,True,True,True,False,False,False,,True,PRIVATE,True,PUBLIC,False,True,True,False,False,False,True,False,False,True,False,False,,True,False,False,False,False,True,True,False,True,True,False,False,DU,DU,,,5.0,1.0,1.0,1.0,0.0,2.0,1.0,6.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,,,3.0,1.0,0.0,0.0,1.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,[]
9K9GQW,1,WebApp,62690,100% - financing,NEX_TOKEN,DUBAI,Philippines,HOME,45,ENBD,15000.0,5370.0,PRIME,55170,2022,1,5,982.1433333,6352.143333,42.34762222,AE,True,False,False,NOT_SUPPORTED,True,False,True,False,,False,,False,,True,PRIVATE,False,True,True,False,False,False,False,,False,False,False,False,True,True,False,False,False,False,True,True,False,True,True,False,True,DU,DU,,,3.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,5.36,810.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,[]
PIICEK,1,MobileApp,29995,100% - financing,NEX_TOKEN,SHARJAH,Sudan,HUB,60,DIB,6000.0,1.0,LITE,219048,2014,9,2,1069.821667,1070.821667,17.84702778,AE,True,False,False,NOT_SUPPORTED,False,False,,False,,False,,,,False,,False,,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,True,True,False,True,True,False,False,DU,DU,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,[]
CG7DR6,0,MobileApp,65999,100% - financing,EX_TOKEN,DUBAI,India,HUB,32,DIB,9000.0,1.0,PRIME,77957,2022,1,5,1033.984333,1034.984333,11.49982593,AE,True,False,False,NOT_SUPPORTED,False,False,True,False,False,False,,False,,True,PUBLIC,False,,True,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,False,True,True,False,True,ETISALAT,,,,2.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2,72.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,
6VSJS4,0,mSite,29999,100% - financing,NEX_TOKEN,DUBAI,Nigeria,HUB,30,ENBD,6800.0,567.0,PRIME,101087,2021,2,5,469.9843333,1036.984333,15.24976961,AE,True,False,False,NOT_SUPPORTED,True,True,True,True,True,True,,True,PRIVATE,True,PUBLIC,False,True,True,False,True,False,True,True,False,True,True,False,True,True,False,True,False,False,True,True,False,True,True,False,True,DU,DU,,,8.0,1.0,1.0,3.0,1.0,2.0,1.0,12.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,3.0,2.22,72.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,,True,0.81,True,United Arab Emirates,True,3.0,dnata,2.0,True,Customer Service Agent,3.0,True,3.0,0.33,True,True,1.0,True,3.0,3.0,True,True,True,8.0,2.64,4,
CM0AMK,0,MobileApp,67990,100% - financing,NEX_TOKEN,DUBAI,Egypt,HUB,28,ADCB,6500.0,900.0,PRIME,99391,2020,3,5,1065.176667,1965.176667,30.23348718,AE,True,False,False,NOT_SUPPORTED,False,,True,False,,False,,,,True,PUBLIC,False,False,True,False,True,False,True,True,False,False,False,False,True,True,False,False,False,False,True,True,False,True,True,False,False,ETISALAT,DU,,,2.0,0.0,0.0,1.0,0.0,1.0,1.0,9.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,,,7.0,1.0,0.0,1.0,0.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,[]
4C0CNP,0,MobileApp,94499,100% - financing,NEX_TOKEN,DUBAI,India,HUB,34,Others,18000.0,0.0,PRIVATE_SELLER_PRO,75967,2017,6,5,1480.484333,1480.484333,8.224912963,AE,True,False,False,NOT_SUPPORTED,False,False,False,False,False,False,,False,,True,PUBLIC,False,True,True,True,True,False,True,,True,True,True,,True,True,False,True,False,False,True,True,False,True,True,False,True,DU,DU,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,0.0,1.0,9.0,6.11,205.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,[]
73OLQH,1,MobileApp,37499,100% - financing,NEX_TOKEN,DUBAI,Kenya,HUB,38,DIB,9000.0,1000.0,PRIME,96613,2018,5,5,587.4843333,1587.484333,17.63871482,AE,True,False,False,NOT_SUPPORTED,True,True,True,True,False,True,,,,True,PUBLIC,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,True,False,True,True,False,True,DU,DU,,,6.0,1.0,1.0,2.0,1.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.22,810.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,[]
3IMKVS,0,MobileApp,33999,80% - financing,EX_TOKEN,DUBAI,Egypt,HUB,33,ENBD,7000.0,680.0,PRIME,76609,2016,7,4,645.981,1325.981,18.94258571,AE,True,False,False,NOT_SUPPORTED,False,True,True,False,False,True,,False,,True,PUBLIC,False,False,True,False,True,False,True,True,True,True,True,False,True,True,False,True,False,False,True,True,False,True,True,False,True,DU,DU,,,4.0,0.0,1.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,0.0,1.0,6.0,8.76,115.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,,True,0.55,True,"Dubai, United Arab Emirates",True,4.0,Emitac Healthcare Solutions,1.0,True,Commercial Operations Analyst,4.0,True,4.0,7.63,True,True,1.0,True,4.0,4.0,True,True,True,11.0,1.56,4,
U3SY7Z,0,WebApp,105690,100% - financing,NEX_TOKEN,DUBAI,India,HOME,41,EIB,10000.0,1.0,PRIME,104367,2020,3,5,1655.81,1656.81,16.5681,AE,True,False,False,NOT_SUPPORTED,True,True,True,True,False,True,,True,PUBLIC,True,PRIVATE,True,False,True,False,True,False,False,,True,True,True,,,False,False,True,False,False,True,True,False,True,True,False,True,ETISALAT,,,,8.0,1.0,1.0,2.0,1.0,3.0,1.0,7.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,9.0,8.76,810.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,
RE5VPJ,0,MobileApp,57995,100% - financing,NEX_TOKEN,DUBAI,Syrian Arab Republic,HOME,29,ENBD,12000.0,12000.0,PRIME,105840,2020,3,5,908.5883333,12908.58833,107.5715694,AE,True,False,False,NOT_SUPPORTED,True,False,True,False,True,False,,,,True,PUBLIC,False,True,True,False,True,False,True,False,False,True,False,False,True,True,False,False,False,True,True,True,False,True,True,False,True,ETISALAT,,,,4.0,1.0,0.0,2.0,0.0,1.0,0.0,10.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,5.0,9.44,1315.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,[]
VZRJDJ,0,WebApp,52999,100% - financing,NEX_TOKEN,DUBAI,India,HOME,50,DIB,5000.0,1.0,PRIME,36057,2022,1,5,830.3176667,831.3176667,16.62635333,AE,True,False,False,NOT_SUPPORTED,True,True,False,False,True,False,,False,,True,PRIVATE,False,True,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,True,True,False,True,DU,DU,,,4.0,1.0,1.0,1.0,0.0,1.0,0.0,8.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,6.11,1394.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,[]
QVDVM1,0,WebApp,53999,80% - financing,NEX_TOKEN,DUBAI,Italy,HUB,28,ENBD,19000.0,1400.0,PRIME,56531,2020,3,5,845.9843333,2245.984333,11.82097018,AE,True,False,False,NOT_SUPPORTED,False,True,False,False,False,False,,False,,True,PUBLIC,False,True,True,False,True,True,False,,True,False,True,False,,True,False,,False,False,True,True,False,True,True,False,True,DU,DU,,,2.0,0.0,1.0,0.0,0.0,1.0,1.0,10.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.95,554.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,[]
4RV2O5,0,MobileApp,28999,100% - financing,NEX_TOKEN,DUBAI,Philippines,HOME,36,DIB,3400.0,0.0,PRIME,106898,2019,4,5,454.3176667,454.3176667,13.36228431,AE,True,False,False,NOT_SUPPORTED,False,True,,True,,False,,False,,True,PRIVATE,False,True,True,False,True,True,True,True,True,False,True,False,True,True,False,True,False,False,True,True,False,True,True,False,False,DU,DU,,,3.0,0.0,1.0,1.0,0.0,1.0,0.0,14.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,,,13.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,[]
U90ONN,0,MobileApp,44999,80% - financing,NEX_TOKEN,DUBAI,Belarus,HUB,27,ENBD,11000.0,1.0,PRIME,70219,2019,4,5,704.9843333,705.9843333,6.418039394,AE,True,False,False,NOT_SUPPORTED,False,True,False,False,True,False,,True,PUBLIC,True,PUBLIC,False,True,True,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,True,True,False,True,True,False,False,DU,DU,,,4.0,0.0,1.0,1.0,0.0,2.0,2.0,8.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,,7.0,1.0,1.0,0.0,1.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,[]
WQIHUB,0,MobileApp,57990,100% - financing,NEX_TOKEN,DUBAI,India,HOME,32,ENBD,11000.0,3000.0,PRIME,79251,2018,5,5,908.51,3908.51,35.53190909,AE,True,False,False,NOT_SUPPORTED,True,False,True,False,True,True,,,,True,PRIVATE,False,False,True,True,True,True,False,,True,True,True,,,True,False,True,False,False,True,True,False,True,True,False,True,ETISALAT,,,,5.0,1.0,0.0,2.0,1.0,1.0,0.0,12.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,7.0,5.69,235.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,0.96,True,"india, asia",False,2.0,capgemini,1.0,False,,,False,2.0,,False,False,,False,,,False,False,True,,,0,[]
